"BATTERY_TEST_ID","RAW_SCORE","BATTERY_TEST_TYPE","TEST_PERIOD","BATTERY_GROUP","TEST_CATEGORY"
157041,20,"PROJECT",2,112511,2
157042,50,"VERBAL",3,112511,3
157044,25,"VERBAL",4,112511,12
157045,50,"EXAM",4,112511,12
157046,100,"EXAM",2,113501,2
157047,50,"VERBAL",2,113501,2
157048,50,"VERBAL",2,113501,9
157049,100,"EXAM",2,113501,9
158003,50,"VERBAL",6,112500,19
158001,100,"VERBAL",2,113500,2
158002,50,"EXAM",6,112500,19
158012,25,"VERBAL",4,112511,22
158005,100,"EXAM",2,113500,2
158009,15,"VERBAL",5,112511,18
158013,15,"VERBAL",5,112511,16
158010,35,"EXAM",5,112511,18
158011,20,"PROJECT",5,112511,3050
158014,15,"VERBAL",5,112511,17
158015,100,"VERBAL",2,112501,2
158016,100,"PROJECT",2,112501,2
158017,50,"EXAM",5,112504,20
158018,50,"EXAM",5,112504,21
158019,50,"VERBAL",5,112504,20
158020,50,"VERBAL",5,112504,21
158021,100,"OTHER",1,113503,1
158022,100,"PROJECT",1,113503,1
158023,60,"PROJECT",6,112500,3050
158024,30,"EXAM",7,112500,21
158025,30,"EXAM",7,112500,20
158026,30,"EXAM",7,112500,22
158027,100,"VERBAL",3,113500,3
158028,100,"EXAM",3,113500,3
158029,150,"EXAM",3,113501,3
158030,50,"VERBAL",3,113501,3
158031,50,"VERBAL",3,113501,12
158032,100,"EXAM",3,113501,12
158033,100,"EXAM",3,113501,22
158034,50,"VERBAL",3,113501,22
158035,100,"EXAM",4,112501,4
158036,100,"VERBAL",1,113503,1
158037,40,"VERBAL",6,112511,19
158038,40,"EXAM",6,112511,19
158042,20,"PROJECT",6,112511,19
158040,100,"EXAM",1,113503,1
